time	marker_0_x marker_0_y marker_0_z marker_1_x marker_1_y marker_1_z marker_2_x marker_2_y marker_2_z marker_3_x marker_3_y marker_3_z marker_4_x marker_4_y marker_4_z marker_5_x marker_5_y marker_5_z marker_6_x marker_6_y marker_6_z marker_7_x marker_7_y marker_7_z marker_8_x marker_8_y marker_8_z marker_9_x marker_9_y marker_9_z marker_10_x marker_10_y marker_10_z marker_11_x marker_11_y marker_11_z marker_12_x marker_12_y marker_12_z marker_13_x marker_13_y marker_13_z marker_14_x marker_14_y marker_14_z marker_15_x marker_15_y marker_15_z marker_16_x marker_16_y marker_16_z marker_17_x marker_17_y marker_17_z marker_18_x marker_18_y marker_18_z marker_19_x marker_19_y marker_19_z marker_20_x marker_20_y marker_20_z marker_21_x marker_21_y marker_21_z marker_22_x marker_22_y marker_22_z marker_23_x marker_23_y marker_23_z marker_24_x marker_24_y marker_24_z marker_25_x marker_25_y marker_25_z marker_26_x marker_26_y marker_26_z marker_27_x marker_27_y marker_27_z marker_28_x marker_28_y marker_28_z marker_29_x marker_29_y marker_29_z marker_30_x marker_30_y marker_30_z marker_31_x marker_31_y marker_31_z marker_32_x marker_32_y marker_32_z marker_33_x marker_33_y marker_33_z marker_34_x marker_34_y marker_34_z marker_35_x marker_35_y marker_35_z marker_36_x marker_36_y marker_36_z marker_37_x marker_37_y marker_37_z marker_38_x marker_38_y marker_38_z marker_39_x marker_39_y marker_39_z marker_40_x marker_40_y marker_40_z marker_41_x marker_41_y marker_41_z marker_42_x marker_42_y marker_42_z marker_43_x marker_43_y marker_43_z marker_44_x marker_44_y marker_44_z marker_45_x marker_45_y marker_45_z marker_46_x marker_46_y marker_46_z marker_47_x marker_47_y marker_47_z marker_48_x marker_48_y marker_48_z marker_49_x marker_49_y marker_49_z marker_50_x marker_50_y marker_50_z marker_51_x marker_51_y marker_51_z marker_52_x marker_52_y marker_52_z marker_53_x marker_53_y marker_53_z marker_54_x marker_54_y marker_54_z marker_55_x marker_55_y marker_55_z marker_56_x marker_56_y marker_56_z marker_57_x marker_57_y marker_57_z marker_58_x marker_58_y marker_58_z marker_59_x marker_59_y marker_59_z marker_60_x marker_60_y marker_60_z marker_61_x marker_61_y marker_61_z marker_62_x marker_62_y marker_62_z marker_63_x marker_63_y marker_63_z marker_64_x marker_64_y marker_64_z marker_65_x marker_65_y marker_65_z marker_66_x marker_66_y marker_66_z marker_67_x marker_67_y marker_67_z marker_68_x marker_68_y marker_68_z marker_69_x marker_69_y marker_69_z marker_70_x marker_70_y marker_70_z marker_71_x marker_71_y marker_71_z marker_72_x marker_72_y marker_72_z marker_73_x marker_73_y marker_73_z marker_74_x marker_74_y marker_74_z marker_75_x marker_75_y marker_75_z marker_76_x marker_76_y marker_76_z marker_77_x marker_77_y marker_77_z marker_78_x marker_78_y marker_78_z marker_79_x marker_79_y marker_79_z marker_80_x marker_80_y marker_80_z marker_81_x marker_81_y marker_81_z marker_82_x marker_82_y marker_82_z marker_83_x marker_83_y marker_83_z marker_84_x marker_84_y marker_84_z marker_85_x marker_85_y marker_85_z marker_86_x marker_86_y marker_86_z marker_87_x marker_87_y marker_87_z marker_88_x marker_88_y marker_88_z marker_89_x marker_89_y marker_89_z marker_90_x marker_90_y marker_90_z marker_91_x marker_91_y marker_91_z marker_92_x marker_92_y marker_92_z marker_93_x marker_93_y marker_93_z marker_94_x marker_94_y marker_94_z marker_95_x marker_95_y marker_95_z marker_96_x marker_96_y marker_96_z marker_97_x marker_97_y marker_97_z marker_98_x marker_98_y marker_98_z marker_99_x marker_99_y marker_99_z
1706739342908	821.562744140625 -573.3526000976562 1454.039306640625 936.3740844726562 -576.2174072265625 1444.2330322265625 1320.0770263671875 -579.5108642578125 1409.7738037109375 1074.9005126953125 -70.88569641113281 1600.4493408203125 908.9559936523438 -589.2640380859375 1485.2305908203125 
1706739342908	818.1069946289062 -573.5567016601562 1452.6256103515625 933.1187744140625 -575.529541015625 1444.84619140625 1317.42236328125 -575.6865844726562 1417.059814453125 1074.927734375 -70.9283676147461 1600.4644775390625 
1706739342909	814.6812744140625 -573.7401733398438 1451.138671875 929.8736572265625 -574.8954467773438 1445.3485107421875 1314.70654296875 -571.8416137695312 1424.3748779296875 1074.96337890625 -70.95951843261719 1600.435791015625 445.3396301269531 -592.8446044921875 1540.43896484375 
1706739342909	811.3430786132812 -574.1622314453125 1449.5343017578125 926.6599731445312 -574.2940063476562 1445.6981201171875 1311.5595703125 -568.1104736328125 1431.4232177734375 1075.0281982421875 -71.00191497802734 1600.4715576171875 443.2060241699219 -591.6407470703125 1544.78759765625 
1706739342910	808.2155151367188 -574.6946411132812 1447.6875 923.4183959960938 -573.7291259765625 1446.0098876953125 1308.1123046875 -563.8623046875 1438.3824462890625 1075.2239990234375 -71.04463195800781 1600.511474609375 
1706739342910	805.0115966796875 -575.0694580078125 1445.8323974609375 920.2159423828125 -573.17041015625 1446.185302734375 1304.765869140625 -559.967041015625 1445.2052001953125 1075.271728515625 -71.067138671875 1600.4500732421875 
1706739342911	801.7860107421875 -575.3888549804688 1444.0213623046875 916.9951171875 -572.6287841796875 1446.25927734375 1301.4285888671875 -556.0236206054688 1451.9014892578125 1075.4713134765625 -71.11504364013672 1600.49560546875 
1706739342911	798.7020874023438 -575.86669921875 1441.957763671875 913.7869873046875 -572.1338500976562 1446.2470703125 1297.9188232421875 -552.0789184570312 1458.483154296875 1075.6312255859375 -71.17963409423828 1600.5069580078125 
1706739342912	795.7272338867188 -576.4080200195312 1439.9224853515625 911.3048095703125 -570.8461303710938 1445.6004638671875 1294.8206787109375 -548.6481323242188 1464.8194580078125 1075.7762451171875 -71.2335205078125 1600.414794921875 671.9002075195312 -756.2859497070312 1510.058837890625 
1706739342912	792.7671508789062 -576.974609375 1437.689208984375 908.13037109375 -570.3651123046875 1445.3756103515625 1290.6304931640625 -544.4885864257812 1471.23193359375 1076.010009765625 -71.31349182128906 1600.433837890625 677.1100463867188 -763.9788208007812 1511.55224609375 
1706739342912	789.9014282226562 -577.6231079101562 1435.3515625 904.9462890625 -569.8177490234375 1445.14599609375 1286.7625732421875 -540.6539916992188 1477.351318359375 1076.2977294921875 -71.37638092041016 1600.45458984375 682.3834838867188 -771.729736328125 1512.926025390625 
1706739342913	786.95849609375 -578.0903930664062 1433.0001220703125 901.805908203125 -569.472412109375 1444.5880126953125 1282.71044921875 -536.8297729492188 1483.4072265625 1076.3321533203125 -71.36215209960938 1600.3663330078125 
1706739342913	784.161865234375 -578.6634521484375 1430.524169921875 898.6419067382812 -568.945068359375 1444.153564453125 1278.555419921875 -532.937255859375 1489.1881103515625 1076.5135498046875 -71.38829803466797 1600.3880615234375 
1706739342914	781.4221801757812 -579.2556762695312 1427.9737548828125 895.5421752929688 -568.6409301757812 1443.380859375 1273.609619140625 -530.2850952148438 1495.95654296875 1076.583740234375 -71.44186401367188 1600.4573974609375 738.946533203125 -284.94110107421875 1426.5875244140625 
